language,sent_id,tok_id,token,upos,lemma
en,33,3,room,NOUN,room
en,33,4,and,CCONJ,and
en,33,5,wait,VERB,wait
en,33,6,there,ADV,there
en,33,7,.,PUNCT,.
en,51,0,He,PRON,he
en,51,1,was,AUX,be
en,51,2,always,ADV,always
en,51,3,inclined,ADJ,inclined
en,51,4,to,PART,to
en,51,5,take,VERB,take
en,51,6,life,NOUN,life
en,51,7,as,ADV,as
en,51,8,lightly,ADV,lightly
en,51,9,as,SCONJ,as
en,51,10,he,PRON,he
en,51,11,could,AUX,could
en,51,12,",",PUNCT,","
en,51,13,to,PART,to
en,51,14,cross,VERB,cross
en,51,15,bridges,NOUN,bridge
en,51,16,when,SCONJ,when
en,51,17,he,PRON,he
en,51,18,came,VERB,come
en,51,19,to,ADP,to
en,51,20,them,PRON,they
en,51,21,",",PUNCT,","
en,51,22,pay,VERB,pay
en,51,23,no,DET,no
en,51,24,heed,NOUN,heed
en,51,25,for,ADP,for
en,51,26,the,DET,the
en,51,27,future,NOUN,future
en,51,28,",",PUNCT,","
en,51,29,even,ADV,even
en,51,30,when,SCONJ,when
en,51,31,everything,PRON,everything
en,51,32,seemed,VERB,seem
en,51,33,under,ADP,under
en,51,34,threat,NOUN,threat
en,51,35,.,PUNCT,.
en,52,0,But,CCONJ,but
en,52,1,here,ADV,here
en,52,2,that,PRON,that
en,52,3,did,AUX,do
en,52,4,not,PART,not
en,52,5,seem,VERB,seem
en,52,6,the,DET,the
en,52,7,right,ADJ,right
en,52,8,thing,NOUN,thing
en,52,9,to,PART,to
en,52,10,do,VERB,do
en,52,11,.,PUNCT,.
en,70,0,And,CCONJ,and
en,70,1,how,SCONJ,how
en,70,2,come,VERB,come
en,70,3,it,PRON,it
en,70,4,'s,AUX,be
en,70,5,like,ADP,like
en,70,6,this,PRON,this
en,70,7,?,PUNCT,?
en,70,8,"""",PUNCT,""""
en,93,0,But,CCONJ,but
en,93,1,the,DET,the
en,93,2,policeman,NOUN,policeman
en,93,3,just,ADV,just
en,93,4,said,VERB,say
en,93,5,dismissively,ADV,dismissively
en,93,6,",",PUNCT,","
en,93,7,"""",PUNCT,""""
en,93,8,You,PRON,you
en,93,9,'ll,AUX,will
en,93,10,find,VERB,find
en,93,11,out,ADP,out
en,93,12,when,SCONJ,when
en,93,13,it,PRON,it
en,93,14,affects,VERB,affect
en,93,15,you,PRON,you
en,93,16,.,PUNCT,.
en,93,17,"""",PUNCT,""""
en,109,0,Perhaps,ADV,perhaps
en,109,1,",",PUNCT,","
en,109,2,if,SCONJ,if
en,109,3,he,PRON,he
en,109,4,opened,VERB,open
en,109,5,the,DET,the
en,109,6,door,NOUN,door
en,109,7,of,ADP,of
en,109,8,the,DET,the
en,109,9,next,ADJ,next
en,109,10,room,NOUN,room
en,109,11,or,CCONJ,or
en,109,12,even,ADV,even
en,109,13,the,DET,the
en,109,14,front,ADJ,front
en,109,15,door,NOUN,door
en,109,16,",",PUNCT,","
en,109,17,the,DET,the
en,109,18,two,NUM,two
en,109,19,of,ADP,of
en,109,20,them,PRON,they
en,109,21,would,AUX,would
en,109,22,not,PART,not
en,109,23,dare,VERB,dare
en,109,24,to,PART,to
en,109,25,stand,VERB,stand
en,109,26,in,ADP,in
en,109,27,his,PRON,his
en,109,28,way,NOUN,way
en,109,29,",",PUNCT,","
en,109,30,perhaps,ADV,perhaps
en,109,31,that,PRON,that
en,109,32,would,AUX,would
en,109,33,be,AUX,be
en,109,34,the,DET,the
en,109,35,simplest,ADJ,simple
en,109,36,way,NOUN,way
en,109,37,to,PART,to
en,109,38,settle,VERB,settle
en,109,39,the,DET,the
en,109,40,whole,ADJ,whole
en,109,41,thing,NOUN,thing
en,109,42,",",PUNCT,","
en,109,43,by,ADP,by
en,109,44,bringing,VERB,bring
en,109,45,it,PRON,it
en,109,46,to,ADP,to
en,109,47,a,DET,a
en,109,48,head,NOUN,head
en,109,49,.,PUNCT,.
en,120,0,Because,SCONJ,because
en,120,1,those,DET,those
en,120,2,two,NUM,two
en,120,3,were,AUX,be
en,120,4,sitting,VERB,sit
en,120,5,there,ADV,there
en,120,6,in,ADP,in
en,120,7,the,DET,the
en,120,8,next,ADJ,next
en,120,9,room,NOUN,room
en,120,10,and,CCONJ,and
en,120,11,had,AUX,have
en,120,12,taken,VERB,take
en,120,13,his,PRON,his
en,120,14,breakfast,NOUN,breakfast
en,120,15,",",PUNCT,","
en,120,16,perhaps,ADV,perhaps
en,120,17,.,PUNCT,.
en,134,0,"""",PUNCT,""""
en,134,1,Let,VERB,let
en,134,2,go,VERB,go
en,134,3,of,ADP,of
en,134,4,me,PRON,I
en,134,5,for,ADP,for
en,134,6,God,PROPN,God
en,134,7,'s,PART,'s
en,134,8,sake,NOUN,sake
en,134,9,!,PUNCT,!
en,134,10,"""",PUNCT,""""
en,139,0,They,PRON,they
en,139,1,shook,VERB,shake
en,139,2,their,PRON,their
en,139,3,heads,NOUN,head
en,139,4,.,PUNCT,.
en,144,0,He,PRON,he
en,144,1,secretly,ADV,secretly
en,144,2,told,VERB,tell
en,144,3,himself,PRON,himself
en,144,4,that,SCONJ,that
en,144,5,he,PRON,he
en,144,6,had,AUX,have
en,144,7,succeeded,VERB,succeed
en,144,8,in,ADP,in
en,144,9,speeding,VERB,speed
en,144,10,things,NOUN,thing
en,144,11,up,ADP,up
en,144,12,by,ADP,by
en,144,13,letting,VERB,let
en,144,14,the,DET,the
en,144,15,policemen,NOUN,policeman
en,144,16,forget,VERB,forget
en,144,17,to,PART,to
en,144,18,make,VERB,make
en,144,19,him,PRON,he
en,144,20,have,VERB,have
en,144,21,a,DET,a
en,144,22,bath,NOUN,bath
en,144,23,.,PUNCT,.
en,149,0,Now,ADV,now
en,149,1,",",PUNCT,","
en,149,2,her,PRON,her
en,149,3,bedside,NOUN,bedside
en,149,4,table,NOUN,table
en,149,5,had,AUX,have
en,149,6,been,AUX,be
en,149,7,pulled,VERB,pull
en,149,8,into,ADP,into
en,149,9,the,DET,the
en,149,10,middle,NOUN,middle
en,149,11,of,ADP,of
en,149,12,the,DET,the
en,149,13,room,NOUN,room
en,149,14,to,PART,to
en,149,15,be,AUX,be
en,149,16,used,VERB,use
en,149,17,as,ADP,as
en,149,18,a,DET,a
en,149,19,desk,NOUN,desk
en,149,20,for,ADP,for
en,149,21,these,DET,these
en,149,22,proceedings,NOUN,proceeding
en,149,23,",",PUNCT,","
en,149,24,and,CCONJ,and
en,149,25,the,DET,the
en,149,26,supervisor,NOUN,supervisor
en,149,27,sat,VERB,sit
en,149,28,behind,ADP,behind
en,149,29,it,PRON,it
en,149,30,.,PUNCT,.
en,170,0,"""",PUNCT,""""
en,170,1,Quite,ADV,quite
en,170,2,right,ADV,right
en,170,3,",",PUNCT,","
en,170,4,"""",PUNCT,""""
en,170,5,said,VERB,say
en,170,6,the,DET,the
en,170,7,supervisor,NOUN,supervisor
en,170,8,",",PUNCT,","
en,170,9,looking,VERB,look
en,170,10,to,PART,to
en,170,11,see,VERB,see
en,170,12,how,SCONJ,how
en,170,13,many,ADJ,many
en,170,14,matches,NOUN,match
en,170,15,were,AUX,be
en,170,16,left,VERB,leave
en,170,17,in,ADP,in
en,170,18,the,DET,the
en,170,19,box,NOUN,box
en,170,20,.,PUNCT,.
en,179,0,"""",PUNCT,""""
en,179,1,You,PRON,you
en,179,2,'re,AUX,be
en,179,3,making,VERB,make
en,179,4,a,DET,a
en,179,5,big,ADJ,big
en,179,6,mistake,NOUN,mistake
en,179,7,",",PUNCT,","
en,179,8,"""",PUNCT,""""
en,179,9,he,PRON,he
en,179,10,said,VERB,say
en,179,11,.,PUNCT,.
en,183,0,You,PRON,you
en,183,1,'re,AUX,be
en,183,2,under,ADP,under
en,183,3,arrest,NOUN,arrest
en,183,4,",",PUNCT,","
en,183,5,you,PRON,you
en,183,6,'re,AUX,be
en,183,7,quite,ADV,quite
en,183,8,right,ADJ,right
en,183,9,about,ADP,about
en,183,10,that,PRON,that
en,183,11,",",PUNCT,","
en,183,12,but,CCONJ,but
en,183,13,I,PRON,I
en,183,14,do,AUX,do
en,183,15,n't,PART,not
en,183,16,know,VERB,know
en,183,17,any,PRON,any
en,183,18,more,ADJ,more
en,183,19,than,ADP,than
en,183,20,that,PRON,that
en,183,21,.,PUNCT,.
en,184,0,Maybe,ADV,maybe
en,184,1,these,DET,these
en,184,2,officers,NOUN,officer
en,184,3,have,AUX,have
en,184,4,been,AUX,be
en,184,5,chit,NOUN,chit
en,184,6,-,PUNCT,-
en,184,7,chatting,NOUN,chatting
en,184,8,with,ADP,with
en,184,9,you,PRON,you
en,184,10,",",PUNCT,","
en,184,11,well,INTJ,well
en,184,12,if,SCONJ,if
en,184,13,they,PRON,they
en,184,14,have,VERB,have
en,184,15,that,PRON,that
en,184,16,'s,AUX,be
en,184,17,all,PRON,all
en,184,18,it,PRON,it
en,184,19,is,AUX,be
en,184,20,",",PUNCT,","
en,184,21,chit,NOUN,chit
en,184,22,-,PUNCT,-
en,184,23,chat,PROPN,chat
en,184,24,.,PUNCT,.
en,188,0,Almost,ADV,almost
en,188,1,everything,PRON,everything
en,188,2,you,PRON,you
en,188,3,'ve,AUX,have
en,188,4,said,VERB,say
en,188,5,so,ADV,so
en,188,6,far,ADV,far
en,188,7,has,AUX,have
en,188,8,been,AUX,be
en,188,9,things,NOUN,thing
en,188,10,we,PRON,we
en,188,11,could,AUX,could
en,188,12,have,AUX,have
en,188,13,taken,VERB,take
en,188,14,from,ADP,from
en,188,15,your,PRON,your
en,188,16,behaviour,NOUN,behaviour
en,188,17,",",PUNCT,","
en,188,18,even,ADV,even
en,188,19,if,SCONJ,if
en,188,20,you,PRON,you
en,188,21,'d,AUX,have
en,188,22,said,VERB,say
en,188,23,no,PRON,no
en,188,24,more,ADJ,more
en,188,25,than,ADP,than
en,188,26,a,DET,a
en,188,27,few,ADJ,few
en,188,28,words,NOUN,word
en,188,29,.,PUNCT,.
en,196,0,He,PRON,he
en,196,1,finally,ADV,finally
en,196,2,came,VERB,come
en,196,3,again,ADV,again
en,196,4,to,ADP,to
en,196,5,a,DET,a
en,196,6,halt,NOUN,halt
en,196,7,in,ADP,in
en,196,8,front,NOUN,front
en,196,9,of,ADP,of
en,196,10,the,DET,the
en,196,11,supervisor,NOUN,supervisor
en,196,12,'s,PART,'s
en,196,13,desk,NOUN,desk
en,196,14,.,PUNCT,.
en,211,0,"""",PUNCT,""""
en,211,1,Go,VERB,go
en,211,2,away,ADV,away
en,211,3,",",PUNCT,","
en,211,4,"""",PUNCT,""""
en,211,5,he,PRON,he
en,211,6,then,ADV,then
en,211,7,called,VERB,call
en,211,8,across,ADP,across
en,211,9,to,ADP,to
en,211,10,them,PRON,they
en,211,11,.,PUNCT,.
en,229,0,No,INTJ,no
en,229,1,",",PUNCT,","
en,229,2,why,SCONJ,why
en,229,3,should,AUX,should
en,229,4,you,PRON,you
en,229,5,think,VERB,think
en,229,6,that,PRON,that
en,229,7,?,PUNCT,?
en,240,0,"""",PUNCT,""""
en,240,1,It,PRON,it
en,240,2,'s,AUX,be
en,240,3,true,ADJ,true
en,240,4,that,SCONJ,that
en,240,5,you,PRON,you
en,240,6,'re,AUX,be
en,240,7,under,ADP,under
en,240,8,arrest,NOUN,arrest
en,240,9,",",PUNCT,","
en,240,10,but,CCONJ,but
en,240,11,that,PRON,that
en,240,12,should,AUX,should
en,240,13,n't,PART,not
en,240,14,stop,VERB,stop
en,240,15,you,PRON,you
en,240,16,from,ADP,from
en,240,17,carrying,VERB,carry
en,240,18,out,ADP,out
en,240,19,your,PRON,your
en,240,20,job,NOUN,job
en,240,21,.,PUNCT,.
en,251,0,As,SCONJ,as
en,251,1,you,PRON,you
en,251,2,'re,AUX,be
en,251,3,paying,VERB,pay
en,251,4,close,ADJ,close
en,251,5,attention,NOUN,attention
en,251,6,to,ADP,to
en,251,7,every,DET,every
en,251,8,word,NOUN,word
en,251,9,I,PRON,I
en,251,10,'ll,AUX,will
en,251,11,add,VERB,add
en,251,12,this,PRON,this
en,251,13,:,PUNCT,:
en,251,14,I,PRON,I
en,251,15,'m,AUX,be
en,251,16,not,PART,not
en,251,17,forcing,VERB,force
en,251,18,you,PRON,you
en,251,19,to,PART,to
en,251,20,go,VERB,go
en,251,21,to,ADP,to
en,251,22,the,DET,the
en,251,23,bank,NOUN,bank
en,251,24,",",PUNCT,","
en,251,25,I,PRON,I
en,251,26,'d,AUX,would
en,251,27,just,ADV,just
en,251,28,assumed,VERB,assume
en,251,29,you,PRON,you
en,251,30,wanted,VERB,want
en,251,31,to,PART,to
en,251,32,.,PUNCT,.
en,256,0,How,SCONJ,how
en,256,1,occupied,VERB,occupy
en,256,2,he,PRON,he
en,256,3,must,AUX,must
en,256,4,have,AUX,have
en,256,5,been,AUX,be
en,256,6,with,ADP,with
en,256,7,the,DET,the
en,256,8,supervisor,NOUN,supervisor
en,256,9,and,CCONJ,and
en,256,10,the,DET,the
en,256,11,policemen,NOUN,policeman
en,256,12,not,PART,not
en,256,13,to,PART,to
en,256,14,have,AUX,have
en,256,15,recognised,VERB,recognise
en,256,16,these,DET,these
en,256,17,three,NUM,three
en,256,18,!,PUNCT,!
en,263,0,Kaminer,PROPN,Kaminer
en,263,1,got,VERB,get
en,263,2,to,ADP,to
en,263,3,the,DET,the
en,263,4,hat,NOUN,hat
en,263,5,and,CCONJ,and
en,263,6,K.,PROPN,K.
en,263,7,",",PUNCT,","
en,263,8,as,SCONJ,as
en,263,9,he,PRON,he
en,263,10,often,ADV,often
en,263,11,had,VERB,have
en,263,12,to,PART,to
en,263,13,do,VERB,do
en,263,14,at,ADP,at
en,263,15,the,DET,the
en,263,16,bank,NOUN,bank
en,263,17,",",PUNCT,","
en,263,18,forcibly,ADV,forcibly
en,263,19,reminded,VERB,remind
en,263,20,himself,PRON,himself
en,263,21,that,SCONJ,that
en,263,22,the,DET,the
en,263,23,grin,NOUN,grin
en,263,24,was,AUX,be
en,263,25,not,PART,not
en,263,26,deliberate,ADJ,deliberate
en,263,27,",",PUNCT,","
en,263,28,that,SCONJ,that
en,263,29,he,PRON,he
en,263,30,in,ADP,in
en,263,31,fact,NOUN,fact
en,263,32,was,AUX,be
en,263,33,n't,PART,not
en,263,34,able,ADJ,able
en,263,35,to,PART,to
en,263,36,grin,VERB,grin
en,263,37,deliberately,ADV,deliberately
en,263,38,.,PUNCT,.
en,270,0,"""",PUNCT,""""
en,270,1,Do,AUX,do
en,270,2,n't,PART,not
en,270,3,look,VERB,look
en,270,4,at,ADP,at
en,270,5,him,PRON,he
en,270,6,!,PUNCT,!
en,270,7,"""",PUNCT,""""
en,279,0,That,DET,that
en,279,1,spring,NOUN,spring
en,279,2,",",PUNCT,","
en,279,3,whenever,SCONJ,whenever
en,279,4,possible,ADJ,possible
en,279,5,",",PUNCT,","
en,279,6,K.,PROPN,K.
en,279,7,usually,ADV,usually
en,279,8,spent,VERB,spend
en,279,9,his,PRON,his
en,279,10,evenings,NOUN,evening
en,279,11,after,ADP,after
en,279,12,work,NOUN,work
en,279,13,--,PUNCT,--
en,279,14,he,PRON,he
en,279,15,usually,ADV,usually
en,279,16,stayed,VERB,stay
en,279,17,in,ADP,in
en,279,18,the,DET,the
en,279,19,office,NOUN,office
en,279,20,until,ADP,until
en,279,21,nine,NUM,nine
en,279,22,o'clock,NOUN,o'clock
en,279,23,--,PUNCT,--
en,279,24,with,ADP,with
en,279,25,a,DET,a
en,279,26,short,ADJ,short
en,279,27,walk,NOUN,walk
en,279,28,",",PUNCT,","
en,279,29,either,CCONJ,either
en,279,30,by,ADP,by
en,279,31,himself,PRON,himself
en,279,32,or,CCONJ,or
en,279,33,in,ADP,in
en,279,34,the,DET,the
en,279,35,company,NOUN,company
en,279,36,of,ADP,of
en,279,37,some,PRON,some
en,279,38,of,ADP,of
en,279,39,the,DET,the
en,279,40,bank,NOUN,bank
en,279,41,officials,NOUN,official
en,279,42,",",PUNCT,","
en,279,43,and,CCONJ,and
en,279,44,then,ADV,then
en,279,45,he,PRON,he
en,279,46,would,AUX,would
en,279,47,go,VERB,go
en,279,48,into,ADP,into
en,279,49,a,DET,a
en,279,50,pub,NOUN,pub
en,279,51,where,SCONJ,where
en,279,52,he,PRON,he
en,279,53,would,AUX,would
en,279,54,sit,VERB,sit
en,279,55,at,ADP,at
en,279,56,the,DET,the
en,279,57,regulars,NOUN,regular
en,279,58,',PART,'
en,279,59,table,NOUN,table
en,279,60,with,ADP,with
en,279,61,mostly,ADV,mostly
en,279,62,older,ADJ,old
en,279,63,men,NOUN,man
en,279,64,until,ADP,until
en,279,65,eleven,NUM,eleven
en,279,66,.,PUNCT,.
en,291,0,"""",PUNCT,""""
en,291,1,The,DET,the
en,291,2,landlord,NOUN,landlord
en,291,3,'s,PART,'s
en,291,4,son,NOUN,son
en,291,5,?,PUNCT,?
en,291,6,"""",PUNCT,""""
en,291,7,asked,VERB,ask
en,291,8,K.,PROPN,K.
en,291,9,",",PUNCT,","
en,291,10,and,CCONJ,and
en,291,11,impatiently,ADV,impatiently
en,291,12,knocked,VERB,knock
en,291,13,on,ADP,on
en,291,14,the,DET,the
en,291,15,ground,NOUN,ground
en,291,16,with,ADP,with
en,291,17,his,PRON,his
en,291,18,stick,NOUN,stick
en,291,19,.,PUNCT,.
en,298,0,K.,PROPN,K.
en,298,1,apologised,VERB,apologise
en,298,2,",",PUNCT,","
en,298,3,a,DET,a
en,298,4,little,ADJ,little
en,298,5,embarrassed,ADJ,embarrassed
en,298,6,at,ADP,at
en,298,7,coming,VERB,come
en,298,8,so,ADV,so
en,298,9,late,ADV,late
en,298,10,",",PUNCT,","
en,298,11,but,CCONJ,but
en,298,12,Mrs.,PROPN,Mrs.
en,298,13,Grubach,PROPN,Grubach
en,298,14,was,AUX,be
en,298,15,very,ADV,very
en,298,16,friendly,ADJ,friendly
en,298,17,and,CCONJ,and
en,298,18,did,AUX,do
en,298,19,not,PART,not
en,298,20,want,VERB,want
en,298,21,to,PART,to
en,298,22,hear,VERB,hear
en,298,23,any,DET,any
en,298,24,apology,NOUN,apology
en,298,25,",",PUNCT,","
en,298,26,she,PRON,she
en,298,27,was,AUX,be
en,298,28,always,ADV,always
en,298,29,ready,ADJ,ready
en,298,30,to,PART,to
en,298,31,speak,VERB,speak
en,298,32,to,ADP,to
en,298,33,him,PRON,he
en,298,34,",",PUNCT,","
en,298,35,he,PRON,he
en,298,36,knew,VERB,know
en,298,37,very,ADV,very
en,298,38,well,ADV,well
en,298,39,that,SCONJ,that
en,298,40,he,PRON,he
en,298,41,was,AUX,be
en,298,42,her,PRON,her
en,298,43,best,ADJ,good
en,298,44,and,CCONJ,and
en,298,45,her,PRON,her
en,298,46,favourite,ADJ,favourite
en,298,47,tenant,NOUN,tenant
en,298,48,.,PUNCT,.
en,299,0,K.,PROPN,K.
en,299,1,looked,VERB,look
en,299,2,round,ADP,round
en,299,3,the,DET,the
en,299,4,room,NOUN,room
en,299,5,",",PUNCT,","
en,299,6,it,PRON,it
en,299,7,looked,VERB,look
en,299,8,exactly,ADV,exactly
en,299,9,as,SCONJ,as
en,299,10,it,PRON,it
en,299,11,usually,ADV,usually
en,299,12,did,VERB,do
en,299,13,",",PUNCT,","
en,299,14,the,DET,the
en,299,15,breakfast,NOUN,breakfast
en,299,16,dishes,NOUN,dish
en,299,17,",",PUNCT,","
en,299,18,which,PRON,which
en,299,19,had,AUX,have
en,299,20,been,AUX,be
en,299,21,on,ADP,on
en,299,22,the,DET,the
en,299,23,table,NOUN,table
en,299,24,by,ADP,by
en,299,25,the,DET,the
en,299,26,window,NOUN,window
en,299,27,that,DET,that
en,299,28,morning,NOUN,morning
en,299,29,",",PUNCT,","
en,299,30,had,AUX,have
en,299,31,already,ADV,already
en,299,32,been,AUX,be
en,299,33,cleared,VERB,clear
en,299,34,away,ADV,away
en,299,35,.,PUNCT,.
en,315,0,"""",PUNCT,""""
en,315,1,Do,AUX,do
en,315,2,you,PRON,you
en,315,3,mean,VERB,mean
en,315,4,that,SCONJ,that
en,315,5,seriously,ADV,seriously
en,315,6,?,PUNCT,?
en,315,7,"""",PUNCT,""""
en,315,8,asked,VERB,ask
en,315,9,K.,PROPN,K.
en,315,10,"""",PUNCT,""""
en,315,11,Yes,INTJ,yes
en,315,12,",",PUNCT,","
en,315,13,"""",PUNCT,""""
en,315,14,she,PRON,she
en,315,15,said,VERB,say
en,315,16,",",PUNCT,","
en,315,17,more,ADV,more
en,315,18,gently,ADV,gently
en,315,19,",",PUNCT,","
en,315,20,"""",PUNCT,""""
en,315,21,but,CCONJ,but
en,315,22,the,DET,the
en,315,23,important,ADJ,important
en,315,24,thing,NOUN,thing
en,315,25,is,AUX,be
en,315,26,you,PRON,you
en,315,27,must,AUX,must
en,315,28,n't,PART,not
en,315,29,take,VERB,take
en,315,30,it,PRON,it
en,315,31,too,ADV,too
en,315,32,hard,ADV,hard
en,315,33,.,PUNCT,.
en,322,0,You,PRON,you
en,322,1,have,AUX,have
en,322,2,been,AUX,be
en,322,3,arrested,VERB,arrest
en,322,4,",",PUNCT,","
en,322,5,but,CCONJ,but
en,322,6,it,PRON,it
en,322,7,'s,AUX,be
en,322,8,not,PART,not
en,322,9,in,ADP,in
en,322,10,the,DET,the
en,322,11,same,ADJ,same
en,322,12,way,NOUN,way
en,322,13,as,ADP,as
en,322,14,when,SCONJ,when
en,322,15,they,PRON,they
en,322,16,arrest,VERB,arrest
en,322,17,a,DET,a
en,322,18,thief,NOUN,thief
en,322,19,.,PUNCT,.
en,323,0,If,SCONJ,if
en,323,1,you,PRON,you
en,323,2,'re,AUX,be
en,323,3,arrested,VERB,arrest
en,323,4,in,ADP,in
en,323,5,the,DET,the
en,323,6,same,ADJ,same
en,323,7,way,NOUN,way
en,323,8,as,ADP,as
en,323,9,a,DET,a
en,323,10,thief,NOUN,thief
en,323,11,",",PUNCT,","
en,323,12,then,ADV,then
en,323,13,it,PRON,it
en,323,14,'s,AUX,be
en,323,15,bad,ADJ,bad
en,323,16,",",PUNCT,","
en,323,17,but,CCONJ,but
en,323,18,an,DET,an
en,323,19,arrest,NOUN,arrest
en,323,20,like,ADP,like
en,323,21,this,PRON,this
en,323,22,....,PUNCT,....
en,326,0,I,PRON,I
en,326,1,was,AUX,be
en,326,2,just,ADV,just
en,326,3,caught,VERB,catch
en,326,4,unawares,ADP,unawares
en,326,5,",",PUNCT,","
en,326,6,that,PRON,that
en,326,7,'s,AUX,be
en,326,8,what,PRON,what
en,326,9,happened,VERB,happen
en,326,10,.,PUNCT,.
en,352,0,"""",PUNCT,""""
en,352,1,Miss,PROPN,Miss
en,352,2,Bürstner,PROPN,Bürstner
en,352,3,often,ADV,often
en,352,4,comes,VERB,come
en,352,5,home,ADV,home
en,352,6,late,ADV,late
en,352,7,",",PUNCT,","
en,352,8,"""",PUNCT,""""
en,352,9,said,VERB,say
en,352,10,K.,PROPN,K.
en,352,11,",",PUNCT,","
en,352,12,looking,VERB,look
en,352,13,at,ADP,at
en,352,14,Mrs.,PROPN,Mrs.
en,352,15,Grubach,PROPN,Grubach
en,352,16,as,SCONJ,as
en,352,17,if,SCONJ,if
en,352,18,that,PRON,that
en,352,19,were,AUX,be
en,352,20,her,PRON,her
en,352,21,responsibility,NOUN,responsibility
en,352,22,.,PUNCT,.
en,355,0,"""",PUNCT,""""
en,355,1,Yes,INTJ,yes
en,355,2,",",PUNCT,","
en,355,3,it,PRON,it
en,355,4,can,AUX,can
en,355,5,be,AUX,be
en,355,6,",",PUNCT,","
en,355,7,"""",PUNCT,""""
en,355,8,said,VERB,say
en,355,9,Mrs.,PROPN,Mrs.
en,355,10,Grubach,PROPN,Grubach
en,355,11,",",PUNCT,","
en,355,12,"""",PUNCT,""""
en,355,13,you,PRON,you
en,355,14,'re,AUX,be
en,355,15,so,ADV,so
en,355,16,right,ADJ,right
en,355,17,",",PUNCT,","
