language,sent_id,tok_id,token,upos_spacy,lemma_spacy,upos_llm,lemma_llm,upos_llm_norm,parse_ok,error
en,93,10,find,VERB,find,VERB,find,VERB,True,
en,93,11,out,ADP,out,ADP,out,ADP,True,
en,93,12,when,SCONJ,when,ADV,when,ADV,True,
en,93,13,it,PRON,it,PRON,it,PRON,True,
en,93,14,affects,VERB,affect,VERB,affects,VERB,True,
en,93,15,you,PRON,you,PRON,you,PRON,True,
en,93,16,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,93,17,"""",PUNCT,"""",PUNCT,"""",PUNCT,True,
en,109,0,Perhaps,ADV,perhaps,PROPN,Perhaps,PROPN,True,
en,109,1,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,109,2,if,SCONJ,if,ADV,if,ADV,True,
en,109,3,he,PRON,he,PRON,he,PRON,True,
en,109,4,opened,VERB,open,VERB,opened,VERB,True,
en,109,5,the,DET,the,DET,the,DET,True,
en,109,6,door,NOUN,door,NOUN,door,NOUN,True,
en,109,7,of,ADP,of,ADP,of,ADP,True,
en,109,8,the,DET,the,DET,the,DET,True,
en,109,9,next,ADJ,next,ADV,next,ADV,True,
en,109,10,room,NOUN,room,NOUN,room,NOUN,True,
en,109,11,or,CCONJ,or,CONJ,or,OTHER,True,
en,109,12,even,ADV,even,INTJ,even,INTJ,True,
en,109,13,the,DET,the,DET,the,DET,True,
en,109,14,front,ADJ,front,NOUN,front,NOUN,True,
en,109,15,door,NOUN,door,NOUN,door,NOUN,True,
en,109,16,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,109,17,the,DET,the,DET,the,DET,True,
en,109,18,two,NUM,two,NUM,two,NUM,True,
en,109,19,of,ADP,of,ADP,of,ADP,True,
en,109,20,them,PRON,they,PRON,them,PRON,True,
en,109,21,would,AUX,would,VERB,would,VERB,True,
en,109,22,not,PART,not,AUX,not,AUX,True,
en,109,23,dare,VERB,dare,VERB,dare,VERB,True,
en,109,24,to,PART,to,AUX,to,AUX,True,
en,109,25,stand,VERB,stand,VERB,stand,VERB,True,
en,109,26,in,ADP,in,ADP,in,ADP,True,
en,109,27,his,PRON,his,PRON,his,PRON,True,
en,109,28,way,NOUN,way,NOUN,way,NOUN,True,
en,109,29,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,109,30,perhaps,ADV,perhaps,PROPN,Perhaps,PROPN,True,
en,109,31,that,PRON,that,PRON,that,PRON,True,
en,109,32,would,AUX,would,VERB,would,VERB,True,
en,109,33,be,AUX,be,AUX,be,AUX,True,
en,109,34,the,DET,the,DET,the,DET,True,
en,109,35,simplest,ADJ,simple,ADJ,simplest,ADJ,True,
en,109,36,way,NOUN,way,NOUN,way,NOUN,True,
en,109,37,to,PART,to,AUX,to,AUX,True,
en,109,38,settle,VERB,settle,VERB,settle,VERB,True,
en,109,39,the,DET,the,DET,the,DET,True,
en,109,40,whole,ADJ,whole,NOUN,whole,NOUN,True,
en,109,41,thing,NOUN,thing,NOUN,thing,NOUN,True,
en,109,42,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,109,43,by,ADP,by,ADP,by,ADP,True,
en,109,44,bringing,VERB,bring,VERB,bringing,VERB,True,
en,109,45,it,PRON,it,PRON,it,PRON,True,
en,109,46,to,ADP,to,AUX,to,AUX,True,
en,109,47,a,DET,a,DET,a,DET,True,
en,109,48,head,NOUN,head,NOUN,head,NOUN,True,
en,109,49,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,120,0,Because,SCONJ,because,ADV,Because,ADV,True,
en,120,1,those,DET,those,DET,those,DET,True,
en,120,2,two,NUM,two,NUM,two,NUM,True,
en,120,3,were,AUX,be,VERB,were,VERB,True,
en,120,4,sitting,VERB,sit,VERB,sitting,VERB,True,
en,120,5,there,ADV,there,PRON,there,PRON,True,
en,120,6,in,ADP,in,ADP,in,ADP,True,
en,120,7,the,DET,the,DET,the,DET,True,
en,120,8,next,ADJ,next,ADV,next,ADV,True,
en,120,9,room,NOUN,room,NOUN,room,NOUN,True,
en,120,10,and,CCONJ,and,CONJ,and,OTHER,True,
en,120,11,had,AUX,have,VERB,had,VERB,True,
en,120,12,taken,VERB,take,VERB,taken,VERB,True,
en,120,13,his,PRON,his,PRON,his,PRON,True,
en,120,14,breakfast,NOUN,breakfast,NOUN,breakfast,NOUN,True,
en,120,15,",",PUNCT,",",PUNCT,",",PUNCT,True,
en,120,16,perhaps,ADV,perhaps,CCONJ,perhaps,CCONJ,True,
en,120,17,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,134,0,"""",PUNCT,"""",PUNCT,,PUNCT,True,
en,134,1,Let,VERB,let,VERB,go,VERB,True,
en,134,2,go,VERB,go,VERB,go,VERB,True,
en,134,3,of,ADP,of,ADP,of,ADP,True,
en,134,4,me,PRON,I,NOUN,me,NOUN,True,
en,134,5,for,ADP,for,ADV,for,ADV,True,
en,134,6,God,PROPN,God,PROPN,God,PROPN,True,
en,134,7,'s,PART,'s,PUNCT,,PUNCT,True,
en,134,8,sake,NOUN,sake,NOUN,sake,NOUN,True,
en,134,9,!,PUNCT,!,PUNCT,,PUNCT,True,
en,134,10,"""",PUNCT,"""",PUNCT,,PUNCT,True,
en,139,0,They,PRON,they,PRON,They,PRON,True,
en,139,1,shook,VERB,shake,VERB,shook,VERB,True,
en,139,2,their,PRON,their,Pron PronType,their,OTHER,True,
en,139,3,heads,NOUN,head,NOUN,heads,NOUN,True,
en,139,4,.,PUNCT,.,PUNCT,.,PUNCT,True,
en,144,0,He,PRON,he,PRON,He,PRON,True,
en,144,1,secretly,ADV,secretly,ADV,secretly,ADV,True,
en,144,2,told,VERB,tell,VERB,told,VERB,True,
en,144,3,himself,PRON,himself,PRON,himself,PRON,True,
en,144,4,that,SCONJ,that,PRON,that,PRON,True,
en,144,5,he,PRON,he,PRON,he,PRON,True,
en,144,6,had,AUX,have,VERB,had,VERB,True,
en,144,7,succeeded,VERB,succeed,VERB,succeeded,VERB,True,
en,144,8,in,ADP,in,ADP,in,ADP,True,
en,144,9,speeding,VERB,speed,VERB,speeding,VERB,True,
en,144,10,things,NOUN,thing,NOUN,things,NOUN,True,
en,144,11,up,ADP,up,ADV,up,ADV,True,
en,144,12,by,ADP,by,ADP,by,ADP,True,
en,144,13,letting,VERB,let,VERB,letting,VERB,True,
en,144,14,the,DET,the,DET,the,DET,True,
en,144,15,policemen,NOUN,policeman,PROPN,policemen,PROPN,True,
en,144,16,forget,VERB,forget,VERB,forget,VERB,True,
en,144,17,to,PART,to,CONJ,to,OTHER,True,
en,144,18,make,VERB,make,VERB,make,VERB,True,
en,144,19,him,PRON,he,PRON,him,PRON,True,
en,144,20,have,VERB,have,VERB,have,VERB,True,
en,144,21,a,DET,a,DET,a,DET,True,
en,144,22,bath,NOUN,bath,NOUN,bath,NOUN,True,
en,144,23,.,PUNCT,.,PUNCT,.,PUNCT,True,
